p,word
0.00178919145421 0.00071624487438 0.00158494988478 0.000733137896016 0.000656785071278,亿元
7.76438735508e-05 0.000535696917305 0.000878215961258 0.00156822436275 0.000730683078148,供应
0.00167455653059 0.0003948077974 0.00104884098742 0.000420529423171 0.00116577688849,业务
0.00201845753319 0.00223107176406 0.00258895698895 0.00313840919547 0.00175173682174,认为
0.00136897626018 9.78187988524e-05 0.00043284747296 0.000157888939435 0.00014606107647,券商
0.00194168242618 0.000974307002421 0.000809806068175 0.000784493863379 0.000584079743423,政府
0.00251296627506 0.00129100139968 0.00190461114808 0.00240603107698 0.00153263720445,需求
0.000305638190895 0.00107157426262 0.00118557107538 0.000109615943204 0.001236676764,港股
0.0019422743513 0.00206060240169 0.00309065065758 0.00282501606688 0.00204317250232,预期
0.00171249407078 0.000341191472587 0.000558842048549 0.000836520861777 0.000729756275755,下滑
0.00159911102701 0.00100356455551 0.00134544258886 0.000368009791684 0.000582985241226,产业
0.000762321269337 0.00182178675401 0.0018247520759 0.00141236735654 0.000876096519827,来看
0.00217079716484 0.00243076006224 0.00204144074731 0.00130918717608 0.00262531452066,数据
0.00144692530399 0.00107656565852 0.000832625698163 0.000782405308479 7.63440272699e-05,行情
0.000456877013901 0.000389750416831 0.000535710958354 0.000160470929342 0.0014558593135,意味着
0.000799969487741 0.00109112136353 0.000889697981915 0.00109908107448 0.00204177712144,世界
0.000913825365287 0.000740478552029 0.000946714663548 0.00172425798709 0.000367061011591,相对
0.00236100714296 0.00194367642622 0.00201859606607 0.00136056024856 0.00116750906611,行业
0.001522893663 0.000881768625159 0.00094676425731 0.00188281432202 0.00189678021441,减少
0.000190669497936 0.000263039722954 0.00034221793845 0.000575855684266 0.00138481569294,必须
0.00198069209223 0.00330268363278 0.00260042569029 0.00292971786456 0.00262647516933,中美贸易战
